Time[s], SCL, SDA
2.523588875, 1, 0
2.523615625, 0, 0
2.523724875, 1, 0
2.523727, 1, 1
2.52375025, 0, 1
2.52383225, 1, 1
2.523858625, 0, 1
2.523940625, 1, 1
2.523967, 0, 1
2.524049, 1, 1
2.524075375, 0, 1
2.5241575, 1, 1
2.524183875, 0, 1
2.524265875, 1, 1
2.52429225, 0, 1
2.52437425, 1, 1
2.524400625, 0, 1
2.524482625, 1, 1
2.524509, 0, 1
2.524591, 1, 1
2.524617375, 0, 1
2.524699375, 1, 1
2.52472575, 0, 1
2.52480775, 1, 1
2.524834125, 0, 1
2.524916125, 1, 1
2.5249425, 0, 1
2.5250245, 1, 1
2.525050875, 0, 1
2.52550175, 0, 0
2.529036, 1, 0
2.529062375, 0, 0
2.5291715, 1, 0
2.529174, 1, 1
2.529196875, 0, 1
2.529279, 1, 1
2.529279875, 1, 0
2.529306125, 0, 0
2.52941525, 1, 0
2.529417875, 1, 1
2.52944075, 0, 1
2.52952275, 1, 1
2.529549125, 0, 1
2.529631125, 1, 1
2.529633, 1, 0
2.529658375, 0, 0
2.5297675, 1, 0
2.52976775, 1, 1
2.529793, 0, 1
2.529875, 1, 1
2.529877, 1, 0
2.52990225, 0, 0
2.530011375, 1, 0
2.53001175, 1, 1
2.530037, 0, 1
2.530119, 1, 1
2.530145375, 0, 1
2.530227375, 1, 1
2.53025375, 0, 1
2.53033575, 1, 1
2.530362125, 0, 1
2.530444125, 1, 1
2.5304705, 0, 1
2.5305525, 1, 1
2.530579, 0, 1
2.530661, 1, 1
2.530687375, 0, 1
2.530769375, 1, 1
2.53079575, 0, 1
2.53087775, 1, 1
2.530904125, 0, 1
2.530986125, 1, 1
2.5310125, 0, 1
2.531094625, 1, 1
2.531121, 0, 1
2.531203, 1, 1
2.531229375, 0, 1
2.531311375, 1, 1
2.53133775, 0, 1
2.53166625, 0, 0
2.53879525, 1, 0
2.538821625, 0, 0
2.53893075, 1, 0
2.538932, 1, 1
2.53895625, 0, 1
2.539038375, 1, 1
2.539041, 1, 0
2.53906575, 0, 0
2.539174875, 1, 0
2.53917575, 1, 1
2.5392005, 0, 1
2.5392825, 1, 1
2.539308875, 0, 1
2.539390875, 1, 1
2.539393875, 1, 0
2.539418125, 0, 0
2.53952725, 1, 0
2.539528625, 1, 1
2.53955275, 0, 1
2.53963475, 1, 1
2.53963775, 1, 0
2.539662, 0, 0
2.539771125, 1, 0
2.539772375, 1, 1
2.539796625, 0, 1
2.539878625, 1, 1
2.539905, 0, 1
2.539987125, 1, 1
2.5400135, 0, 1
2.5400955, 1, 1
2.540121875, 0, 1
2.540203875, 1, 1
2.54023025, 0, 1
2.54031225, 1, 1
2.54033875, 0, 1
2.54042075, 1, 1
2.540447125, 0, 1
2.540529125, 1, 1
2.5405555, 0, 1
2.5406375, 1, 1
2.540663875, 0, 1
2.540745875, 1, 1
2.54077225, 0, 1
2.54085425, 1, 1
2.540880625, 0, 1
2.540962625, 1, 1
2.540989, 0, 1
2.541071, 1, 1
2.541097375, 0, 1
2.5415265, 0, 0
2.54508225, 1, 0
2.54508425, 1, 1
2.545107625, 0, 1
2.545189625, 1, 1
2.545190125, 1, 0
2.545216875, 0, 0
2.545326, 1, 0
2.545352375, 0, 0
2.545461375, 1, 0
2.545463125, 1, 1
2.545486875, 0, 1
2.545568875, 1, 1
2.54559525, 0, 1
2.54567725, 1, 1
2.54567825, 1, 0
2.5457045, 0, 0
2.545813625, 1, 0
2.545816375, 1, 1
2.545839125, 0, 1
2.545921125, 1, 1
2.545922125, 1, 0
2.545948375, 0, 0
2.5460575, 1, 0
2.546060125, 1, 1
2.546083, 0, 1
2.546165, 1, 1
2.546191375, 0, 1
2.546273375, 1, 1
2.54629975, 0, 1
2.54638175, 1, 1
2.546408125, 0, 1
2.546490125, 1, 1
2.5465165, 0, 1
2.5465985, 1, 1
2.546624875, 0, 1
2.546707, 1, 1
2.546733375, 0, 1
2.546815375, 1, 1
2.54684175, 0, 1
2.54692375, 1, 1
2.546950125, 0, 1
2.547032125, 1, 1
2.5470585, 0, 1
2.5471405, 1, 1
2.547166875, 0, 1
2.547248875, 1, 1
2.54727525, 0, 1
2.547357375, 1, 1
2.54738375, 0, 1
2.551369, 1, 1
2.551372375, 1, 0
2.55139625, 0, 0
2.551505375, 1, 0
2.55150725, 1, 1
2.55153075, 0, 1
2.55161275, 1, 1
2.551613125, 1, 0
2.55164, 0, 0
2.551749125, 1, 0
2.551751, 1, 1
2.551774625, 0, 1
2.5518565, 1, 1
2.551883, 0, 1
2.551965, 1, 1
2.551965875, 1, 0
2.551992125, 0, 0
2.55210125, 1, 0
2.552103875, 1, 1
2.55212675, 0, 1
2.55220875, 1, 1
2.55220975, 1, 0
2.552236, 0, 0
2.552345125, 1, 0
2.552347875, 1, 1
2.552370625, 0, 1
2.552452625, 1, 1
2.552479, 0, 1
2.552561, 1, 1
2.5525875, 0, 1
2.5526695, 1, 1
2.552695875, 0, 1
2.552777875, 1, 1
2.55280425, 0, 1
2.552886375, 1, 1
2.55291275, 0, 1
2.55299475, 1, 1
2.553021125, 0, 1
2.553103125, 1, 1
2.553129625, 0, 1
2.553211625, 1, 1
2.553238, 0, 1
2.55332, 1, 1
2.553346375, 0, 1
2.5534285, 1, 1
2.553454875, 0, 1
2.553536875, 1, 1
